,dataset,ensemble,base_naive,base_hatt,base_MLP,feature_selector,avg_selected_features,final_naive,final_hatt,final_MLP,random_ensemble,total_samples,accuracy,running_time
0,data/weather.csv,awe,1,0,0,0,0,0,0,0,0,1000,0.7525,0.39
1,data/weather.csv,aee,1,0,0,0,0,0,0,0,0,1000,0.7188,1.49
2,data/weather.csv,heft,1,1,0,FCBF,1.0,5,1,0,0,1000,0.685,0.27
3,data/weather.csv,heft,1,0,0,FCBF,1.0,5,0,1,0,1000,0.6775,0.48
4,data/weather.csv,heft,0,1,0,FCBF,1.0,0,5,1,0,1000,0.6787,0.56
5,data/weather.csv,heft,1,1,0,FCBF,1.0,5,1,1,0,1000,0.6837,0.52
6,data/weather.csv,heft,1,1,0,FCBF,1.0,2,4,0,1,1000,0.6813,0.33
7,data/weather.csv,heft,1,0,0,FCBF,1.0,4,0,2,1,1000,0.6813,0.73
8,data/weather.csv,heft,0,1,0,FCBF,1.0,0,3,3,1,1000,0.6813,0.96
9,data/weather.csv,heft,1,1,0,FCBF,1.0,1,3,3,1,1000,0.6825,0.88
10,data/weather.csv,heft,1,1,0,CMIM,9.0,1,1,0,0,1000,0.7288,0.5
11,data/weather.csv,heft,1,0,0,CMIM,9.0,1,0,1,0,1000,0.7013,1.12
12,data/weather.csv,heft,0,1,0,CMIM,9.0,0,1,1,0,1000,0.7262,1.19
13,data/weather.csv,heft,1,1,0,CMIM,9.0,1,1,1,0,1000,0.7362,1.22
14,data/weather.csv,heft,1,1,0,CMIM,9.0,1,1,0,1,1000,0.7037,0.51
15,data/weather.csv,heft,1,0,0,CMIM,9.0,1,0,1,1,1000,0.73,1.06
16,data/weather.csv,heft,0,1,0,CMIM,9.0,0,1,1,1,1000,0.7325,1.27
17,data/weather.csv,heft,1,1,0,CMIM,9.0,1,1,1,1,1000,0.7262,1.31
18,data/LED.csv,awe,1,0,0,0,0,0,0,0,0,1000,0.6937,3.99
19,data/LED.csv,aee,1,0,0,0,0,0,0,0,0,1000,0.7238,20.0
20,data/LED.csv,heft,1,1,0,FCBF,15.4,5,1,0,0,1000,0.665,3.87
21,data/LED.csv,heft,1,0,0,FCBF,15.4,5,0,1,0,1000,0.6138,3.06
22,data/LED.csv,heft,0,1,0,FCBF,15.4,0,1,5,0,1000,0.175,1.65
23,data/LED.csv,heft,1,1,0,FCBF,15.4,5,1,1,0,1000,0.61,3.73
24,data/LED.csv,heft,1,1,0,FCBF,15.4,4,2,0,1,1000,0.6362,4.0
25,data/LED.csv,heft,1,0,0,FCBF,15.4,4,0,2,1,1000,0.5988,2.69
26,data/LED.csv,heft,0,1,0,FCBF,15.4,0,2,4,1,1000,0.595,2.42
27,data/LED.csv,heft,1,1,0,FCBF,15.4,2,2,3,1,1000,0.6538,4.23
28,data/LED.csv,heft,1,1,0,CMIM,25.0,1,1,0,0,1000,0.6525,35.12
29,data/LED.csv,heft,1,0,0,CMIM,25.0,1,0,1,0,1000,0.6512,3.37
30,data/LED.csv,heft,0,1,0,CMIM,25.0,0,1,1,0,1000,0.5138,32.91
31,data/LED.csv,heft,1,1,0,CMIM,25.0,1,1,1,0,1000,0.6837,32.2
32,data/LED.csv,heft,1,1,0,CMIM,25.0,1,1,0,1,1000,0.68,46.87
33,data/LED.csv,heft,1,0,0,CMIM,25.0,1,0,1,1,1000,0.6562,3.07
34,data/LED.csv,heft,0,1,0,CMIM,25.0,0,1,1,1,1000,0.5212,29.37
35,data/LED.csv,heft,1,1,0,CMIM,25.0,1,1,1,1,1000,0.675,30.57
36,data/SEA.csv,awe,1,0,0,0,0,0,0,0,0,1000,0.8325,0.22
37,data/SEA.csv,aee,1,0,0,0,0,0,0,0,0,1000,0.8575,0.97
38,data/SEA.csv,heft,1,1,0,FCBF,3.0,1,1,0,0,1000,0.6475,0.26
39,data/SEA.csv,heft,1,0,0,FCBF,3.0,1,0,1,0,1000,0.6475,0.89
40,data/SEA.csv,heft,0,1,0,FCBF,3.0,0,1,1,0,1000,0.735,1.21
41,data/SEA.csv,heft,1,1,0,FCBF,3.0,1,1,1,0,1000,0.6975,1.07
42,data/SEA.csv,heft,1,1,0,FCBF,3.0,1,1,0,1,1000,0.6475,0.25
43,data/SEA.csv,heft,1,0,0,FCBF,3.0,1,0,1,1,1000,0.6312,0.88
44,data/SEA.csv,heft,0,1,0,FCBF,3.0,0,1,1,1,1000,0.7312,1.07
45,data/SEA.csv,heft,1,1,0,FCBF,3.0,1,1,1,1,1000,0.5962,1.07
46,data/SEA.csv,heft,1,1,0,CMIM,3.0,1,1,0,0,1000,0.6475,0.25
47,data/SEA.csv,heft,1,0,0,CMIM,3.0,1,0,1,0,1000,0.7588,0.88
