,dataset,ensemble,base_naive,base_hatt,base_MLP,feature_selector,avg_selected_features,final_naive,final_hatt,final_MLP,random_ensemble,total_samples,accuracy,running_time
0,data/weather.csv,awe,1,0,0,0,0,0,0,0,0,18158,0.7376,20.12
1,data/weather.csv,aee,1,0,0,0,0,0,0,0,0,18158,0.694,27.24
2,data/weather.csv,heft,1,1,0,FCBF,1.0,0,10,0,0,18158,0.6824,17.02
3,data/weather.csv,heft,1,0,1,FCBF,1.0,10,0,0,0,18158,0.6899,9.52
4,data/weather.csv,heft,0,1,1,FCBF,1.0,0,10,0,0,18158,0.6846,18.27
5,data/weather.csv,heft,1,1,1,FCBF,1.0,10,0,0,0,18158,0.6904,9.67
6,data/weather.csv,heft,1,1,0,FCBF,1.0,5,5,0,1,18158,0.6869,13.8
7,data/weather.csv,heft,1,0,1,FCBF,1.0,5,0,5,1,18158,0.6875,38.29
8,data/weather.csv,heft,0,1,1,FCBF,1.0,0,5,5,1,18158,0.686,47.43
9,data/weather.csv,heft,1,1,1,FCBF,1.0,3,1,6,1,18158,0.6868,31.21
10,data/weather.csv,heft,1,1,0,CMIM,9.0,1,1,0,0,18158,0.706,151.43
11,data/weather.csv,heft,1,0,1,CMIM,9.0,1,0,1,0,18158,0.6513,19.13
12,data/weather.csv,heft,0,1,1,CMIM,9.0,0,1,1,0,18158,0.7256,176.4
13,data/weather.csv,heft,1,1,1,CMIM,9.0,1,1,1,0,18158,0.7374,173.34
14,data/weather.csv,heft,1,1,0,CMIM,9.0,1,1,0,1,18158,0.7285,150.8
15,data/weather.csv,heft,1,0,1,CMIM,9.0,1,0,1,1,18158,0.7141,19.12
16,data/weather.csv,heft,0,1,1,CMIM,9.0,0,1,1,1,18158,0.7219,220.83
17,data/weather.csv,heft,1,1,1,CMIM,9.0,1,1,1,1,18158,0.7244,177.78
